post_id,text,likes,comments,shares,engagement_score,created_at,platform,author_id,description
,كله الا ملك يا دكتور,81657,1478,0,83135,2025-04-06 16:43:26+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.
,اللي فاكر فاكرعودة صاحب ال 220 الف لايك,71083,2305,0,73388,2025-08-14 18:00:06+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,اللي فاكر فاكر    ‍  عودة صاحب ال 220 الف لايك   إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.
,الصحاب في اجازةالصحاب ولعوا في المطبخ,51862,1607,0,53469,2025-05-25 18:15:06+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.
,اللي فاكر فاكرملك وبيكو جننوا المستر,46194,1559,0,47753,2025-06-12 18:00:06+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.
,اللي فاكر فاكر انضم لفريق انقاذ شنب المستر!,44519,1335,0,45854,2025-05-22 18:00:06+00:00,YouTube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.
1.95703e+18,httpstcoRc8MWGUZS0,2514,0,267,2781,2025-08-17 10:50:00+00:00,Twitter,1,
1.95746e+18,httpstcoMFyvVamp6J,1085,0,87,1172,2025-08-18 14:54:43+00:00,Twitter,1,
1.95746e+18,httpstcoz6YMeyalWl,742,0,22,764,2025-08-18 14:59:36+00:00,Twitter,1,
