video_id,text,likes,comments,shares_retweets,post_datetime,platform,author_id,description,engagement_score
n2BSymxxhtw,الدنيا دوارة يا استاذ توفيق😂,1820,28,0,2025-06-03T18:15:45Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,182028
cXa_sMlDYws,عبثيات الغيط✨,10359,107,0,2025-06-01T18:29:10Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,10359107
fOW-C-MTfdA,الصحاب في اجازة👨🏻‍🍳الصحاب ولعوا في المطبخ🔥,51862,1607,0,2025-05-25T18:15:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,518621607
2zJQq4w-ZzA,اللي فاكر فاكر👨🏻‍🏫 انضم لفريق انقاذ شنب المستر!,44519,1335,0,2025-05-22T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,445191335
gvFXwT1xREM,اتوبيس كومبليت👨🏻‍🏫🚌الهمبوشه جننت المستر,25957,547,0,2025-05-18T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,25957547
koGTE4yw3L0,الي لسه متفرجش علي الحلقه الاخيره فايته كتير,2488,25,0,2025-05-11T20:55:51Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,248825
G9UQLKF0jOw,مافيوسو🕵️جريمة هزت أمن البحر,26419,648,0,2025-05-04T20:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,26419648
6ARiUMGic_c,اصل كله الا اللبان 😡,25802,178,0,2025-04-25T20:09:05Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,25802178
9J5ypw0BOkg,المنشر🧺حلقه مثيره للجدل!!,31844,2517,0,2025-04-17T21:14:36Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,318442517
eJVN57SXDDY,مافيوسو🕵️‍♂️ حلقة منتهية الصلاحية,29174,594,0,2025-04-06T21:00:07Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,29174594
Lk3air54xKU,كله الا ملك يا دكتور,81657,1478,0,2025-04-06T16:43:26Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,816571478
qHLNgm25nkc,مش تمام يا شباب خالص,1996,26,0,2025-03-27T21:07:41Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,199626
0C2idHD5yh8,في حب چوي و يايا,2771,38,0,2025-03-24T22:38:11Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,277138
_qFK26gqhpk,طبق القطايف: انا دخت من كتر اللف على الناس اللي مش راضيه بيا دي.,9583,100,0,2025-03-23T17:03:17Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,9583100
Lqj3rv9KKQI,مافيوسو🕵🏻‍♂️ياسمينا العبد مشتبه بها ولا ؟,42361,713,0,2025-03-16T21:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,42361713
7BEiYZxo5Mo,الدواء فيه سم قاتل,940,7,0,2025-03-14T21:32:28Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,9407
iuV17hIvOAE,فورمه لعيبه توب,1887,11,0,2025-03-12T21:09:23Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,188711
ewb5Bcq-7VA,مافيوسو🕵🏻‍♂️شامبو في ذمة الله,28065,456,0,2025-03-12T21:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,28065456
h0rR0YeElAM,المنشر🧺ايمن الوتار يضرب ولا يبالي,32582,1061,0,2025-03-09T21:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,325821061
scixGAq2FW8,تفتكروا مين عملها؟,866,7,0,2025-03-05T21:37:38Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,8667
70HZIisrhcU,دخول مفاجئ من العاملين في الكباريه💃🏻,1287,13,0,2025-02-26T21:44:21Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,128713
B9w2u7FlIPc,ياصحبي ياصحبي ياصحبي ….أكمل الأغنية,2183,9,0,2025-02-20T18:38:27Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,21839
GmLn_5rFVvE,مافيوسو 🕵🏻‍♂️ اختفاء طفل وجوارديولا موجود,28326,567,0,2025-02-12T21:10:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,28326567
4wecxxfLJ9s,اجررري شوف ايه الي حصل في فاطمه🌚,14611,127,0,2025-02-10T18:15:04Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,14611127
8pv_5NfhZcE,مافيوسو 🕵 | مين اللي سرق الحقنة 💉 ؟ مع ريم وبولا وحليم ومروان,36904,887,0,2025-01-29T18:34:02Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,36904887
hD1lz6cAmLg,خمنتوا مين الي عملها؟🌚,1319,55,0,2025-01-25T20:12:19Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,131955
